archivo,real,predicho,n_ciclos
a0281,2,2,12
a0282,2,2,16
a0283,0,2,14
a0284,2,2,16
a0285,0,2,11
a0286,2,0,5
a0287,0,2,5
a0288,2,2,2
a0289,0,2,8
a0290,0,2,5
a0291,2,2,7
a0292,2,2,5
a0293,0,2,14
a0294,0,2,5
a0295,2,2,8
a0296,2,2,2
a0297,2,2,4
a0298,0,2,6
a0299,0,2,9
a0300,2,2,7
a0301,0,2,6
a0302,0,2,6
a0303,2,2,7
a0304,0,2,5
a0305,2,0,6
a0306,2,2,13
a0307,2,2,10
a0308,2,2,7
a0309,0,2,2
a0310,0,2,6
a0311,0,2,11
a0312,2,0,2
a0313,2,2,13
a0314,2,2,6
a0315,2,2,3
a0316,2,2,8
a0317,2,2,5
a0318,2,2,7
a0319,2,2,5
a0320,2,2,2
a0321,2,2,8
a0322,2,2,3
a0323,0,2,2
a0324,2,2,9
a0325,0,2,9
a0326,2,2,5
a0327,2,0,10
a0328,0,2,6
a0329,0,2,15
a0330,0,0,3
a0331,2,2,12
a0332,0,2,8
a0333,2,0,8
a0334,0,2,8
a0335,2,2,2
a0336,2,2,3
a0337,0,2,3
a0338,2,2,13
a0339,2,2,3
a0340,0,2,5
a0341,2,2,9
a0342,0,2,9
a0343,2,2,9
a0344,2,2,5
a0345,2,2,7
a0346,2,0,9
a0347,2,2,5
a0348,2,2,10
a0349,2,2,4
a0350,2,2,3
a0351,0,2,13
a0352,0,2,4
a0353,0,2,3
a0354,2,0,9
a0355,0,2,8
a0356,2,0,6
a0357,2,2,6
a0358,2,2,4
a0359,0,2,5
a0360,2,2,6
a0361,0,2,7
a0362,2,2,5
a0363,2,2,11
a0364,2,2,7
a0365,2,2,12
a0366,2,2,8
a0367,2,2,13
a0368,2,2,19
a0369,2,2,5
a0370,2,2,4
a0371,2,2,11
a0372,2,0,5
a0373,2,2,6
a0374,2,0,16
a0375,2,2,12
a0376,2,2,15
a0377,2,2,9
a0378,2,2,5
a0379,2,2,8
a0380,2,2,5
a0381,2,2,9
a0382,2,2,10
a0383,2,2,4
a0384,2,2,12
a0385,0,2,7
a0386,0,2,7
a0387,2,2,7
a0388,2,2,5
a0389,2,2,16
a0390,2,2,13
a0391,2,2,7
a0392,2,2,14
a0393,0,2,13
a0394,2,2,9
a0395,2,2,8
a0396,2,2,14
a0397,2,2,11
a0398,2,2,1
a0399,2,0,10
a0400,2,2,3
a0401,0,2,12
a0402,2,0,10
a0403,2,2,2
a0404,2,2,5
a0405,0,2,6
a0406,0,2,4
a0407,0,2,9
a0408,0,2,8
a0409,0,2,11
